Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-15 00:00:00-05:00,1.9514596038529881,2.0547791537426456,1.9514596038529881,2.0025389194488525,245600,0.0,0.0
2003-12-16 00:00:00-05:00,2.0036999113094307,2.066387973328359,2.0036999113094307,2.0512964725494385,208000,0.0,0.0
2003-12-17 00:00:00-05:00,2.008343500736828,2.100054094623829,2.008343500736828,2.0896060466766357,199200,0.0,0.0
2003-12-18 00:00:00-05:00,2.0954104193483545,2.0954104193483545,2.0687099507822495,2.0896060466766357,40800,0.0,0.0
2003-12-19 00:00:00-05:00,2.051296611344469,2.0896060466766357,2.051296611344469,2.0896060466766357,520000,0.0,0.0
2003-12-22 00:00:00-05:00,2.03272235308782,2.0954104193483545,2.03272235308782,2.0896060466766357,76800,0.0,0.0
2003-12-23 00:00:00-05:00,2.0896060164301775,2.11862832221393,2.0849623412219187,2.1174674034118652,197600,0.0,0.0
2003-12-24 00:00:00-05:00,2.124432396828512,2.124432396828512,2.0849620487849143,2.1186280250549316,73600,0.0,0.0
2003-12-26 00:00:00-05:00,2.1128236532813514,2.1186280250549316,2.1128236532813514,2.1186280250549316,3200,0.0,0.0
2003-12-29 00:00:00-05:00,2.08380135156827,2.123271699611868,2.08380135156827,2.1186280250549316,222400,0.0,0.0
2003-12-30 00:00:00-05:00,2.086123297081288,2.1476506661479418,2.0756752490997314,2.0756752490997314,602400,0.0,0.0
2003-12-31 00:00:00-05:00,2.090766559669848,2.107018977134105,2.058261503318754,2.08380126953125,360000,0.0,0.0
2004-01-02 00:00:00-05:00,2.0559400924419924,2.08960607436744,2.046652963190598,2.057101011276245,138400,0.0,0.0
2004-01-05 00:00:00-05:00,2.107019173783097,2.107019173783097,2.0431701951379675,2.061744451522827,204000,0.0,0.0
2004-01-06 00:00:00-05:00,2.033883066945538,2.1186281393792847,2.033883066945538,2.061744451522827,244800,0.0,0.0
2004-01-07 00:00:00-05:00,2.0896056410763184,2.0896056410763184,2.0663877120508825,2.08380126953125,1112000,0.0,0.0
2004-01-08 00:00:00-05:00,2.0663880649558135,2.086123241571102,2.019952420397082,2.081479787826538,1521600,0.0,0.0
2004-01-09 00:00:00-05:00,2.0896059979464887,2.095410370482848,2.074514496498383,2.081479787826538,216800,0.0,0.0
2004-01-12 00:00:00-05:00,2.0489746645650957,2.0896059353707157,2.0454921297166164,2.0779969692230225,1169600,0.0,0.0
2004-01-13 00:00:00-05:00,2.0199522114821846,2.0838014098915867,2.009504164859239,2.0489745140075684,859200,0.0,0.0
2004-01-14 00:00:00-05:00,2.0675487699100064,2.0768358978612254,2.0315611767768575,2.0489745140075684,1736800,0.0,0.0
2004-01-15 00:00:00-05:00,2.0710313698480567,2.1023755073547363,2.054778952513888,2.1023755073547363,144000,0.0,0.0
2004-01-16 00:00:00-05:00,2.102375762800982,2.146489567249104,2.0814796685909114,2.1337196826934814,255200,0.0,0.0
2004-01-20 00:00:00-05:00,2.113984351685936,2.1871206760406494,2.1105018171888665,2.1871206760406494,292000,0.0,0.0
2004-01-21 00:00:00-05:00,2.1987294402383655,2.3717023161796775,2.1058579503313894,2.2962443828582764,244000,0.0,0.0
2004-01-22 00:00:00-05:00,2.298566174364238,2.298566174364238,2.256774211060083,2.29276180267334,159200,0.0,0.0
2004-01-23 00:00:00-05:00,2.2985664328184767,2.310175398928189,2.221947566486035,2.2741878032684326,515200,0.0,0.0
2004-01-26 00:00:00-05:00,2.284635422352591,2.3217839298018084,2.266061168627982,2.282313585281372,1143200,0.0,0.0
2004-01-27 00:00:00-05:00,2.310175032415567,2.310175032415567,2.1418458255095594,2.2080166339874268,233600,0.0,0.0
2004-01-28 00:00:00-05:00,2.2347172153623482,2.2347172153623482,2.191764111719055,2.2056949138641357,429600,0.0,0.0
2004-01-29 00:00:00-05:00,2.20453425939771,2.2091779344767075,2.1708685007654402,2.173190116882324,172000,0.0,0.0
2004-01-30 00:00:00-05:00,2.182477019163485,2.182477019163485,2.132558845779474,2.168546438217163,285600,0.0,0.0
2004-02-02 00:00:00-05:00,2.1766724586486816,2.1766724586486816,2.1476501592000323,2.1766724586486816,482400,0.0,0.0
2004-02-03 00:00:00-05:00,2.17667248694104,2.17667248694104,2.1244322586854247,2.134880304336548,475200,0.0,0.0
2004-02-04 00:00:00-05:00,2.174350315675918,2.176672152446604,2.076835385532507,2.100053310394287,988800,0.0,0.0
2004-02-05 00:00:00-05:00,2.1360415785388756,2.137202497295906,2.0779969692230225,2.0779969692230225,391200,0.0,0.0
2004-02-06 00:00:00-05:00,2.0768356533098244,2.0884446172375193,1.9735163393407378,1.9851253032684326,1800000,0.0,0.0
2004-02-09 00:00:00-05:00,2.042009551086438,2.0652274854016266,2.004861033320242,2.0199525356292725,797600,0.0,0.0
